"nodeID_from","nodeID_to"
"1","4"
"4","8"
"7","23"
"8","26"
"23","24"
"24","30"
"26","42"
"29","30"
"29","39"
"30","33"
"33","72"
"36","39"
"42","60"
"44","96"
"60","85"
"72","142"
"85","89"
"88","89"
"88","155"
"89","90"
"90","91"
"91","93"
"93","202"
"96","147"
"112","139"
"112","183"
"129","158"
"129","206"
"139","144"
"142","198"
"147","193"
"158","205"
"183","231"
"193","257"
"198","256"
"202","207"
"205","247"
"206","207"
"207","210"
"207","211"
"210","219"
"211","296"
"219","273"
"231","276"
"247","308"
"256","259"
"257","259"
"259","267"
"267","341"
"273","329"
"276","309"
"296","307"
"307","346"
"308","350"
"309","351"
"329","376"
"341","361"
"346","348"
"348","350"
"348","354"
"351","387"
"354","397"
"361","418"
"376","451"
"387","512"
"397","417"
"406","409"
"409","420"
"417","426"
"418","426"
"420","425"
"420","427"
"425","441"
"426","431"
"427","490"
"431","464"
"441","453"
"451","454"
"453","454"
"454","455"
"455","459"
"459","487"
"464","481"
"479","480"
"479","502"
"480","482"
"481","482"
"482","491"
"487","510"
"490","502"
"491","515"
"510","519"
"512","646"
"515","629"
"519","545"
"541","588"
"541","630"
"545","584"
"576","647"
"584","590"
"588","590"
"590","592"
"630","682"
"641","644"
"641","725"
"644","645"
"644","646"
"645","687"
"647","674"
"658","682"
"658","723"
"674","707"
"687","692"
"688","696"
"688","701"
"692","696"
"692","708"
"701","707"
"708","719"
"723","725"
